titulo,url,len_titulo
"Python 3.15.0 alpha 5 (yes, another alpha!)",https://pythoninsider.blogspot.com/2026/01/python-3150-alpha-5-yes-another-alpha.html,43
Python 3.15.0 alpha 4,https://pythoninsider.blogspot.com/2026/01/python-3150-alpha-4.html,21
Python 3.15.0 alpha 3,https://pythoninsider.blogspot.com/2025/12/python-3150-alpha-3.html,21
Python 3.14.2 and 3.13.11 are now available!,https://pythoninsider.blogspot.com/2025/12/python-3142-and-31311-are-now-available.html,44
"Python 3.13.10 is now available, too, you know!",https://pythoninsider.blogspot.com/2025/12/python-31310-is-now-available-too-you.html,47
Python 3.14.1 is now available!,https://pythoninsider.blogspot.com/2025/12/python-3141-is-now-available.html,31
Python 3.15.0 alpha 2,https://pythoninsider.blogspot.com/2025/11/python-3150a2.html,21
Python 3.15.0 alpha 1,https://pythoninsider.blogspot.com/2025/10/python-3150-alpha-1.html,21
Python 3.13.9 is now available!,https://pythoninsider.blogspot.com/2025/10/python-3139-is-now-available.html,31
"Python 3.12.12, 3.11.14, 3.10.19 and 3.9.24 are now available!",https://pythoninsider.blogspot.com/2025/10/python-31212-31114-31019-and-3924-are.html,62
Python 3.14.0 (final) is here!,https://pythoninsider.blogspot.com/2025/10/python-3140-final-is-here.html,30
Python 3.13.8 is now available,https://pythoninsider.blogspot.com/2025/10/python-3138-is-now-available.html,30
Python 3.14.0rc3 is go!,https://pythoninsider.blogspot.com/2025/09/python-3140rc3-is-go.html,23
Python 3.14.0rc2 and 3.13.7 are go!,https://pythoninsider.blogspot.com/2025/08/python-3140rc2-and-3137-are-go.html,35
Python 3.13.6 is now available,https://pythoninsider.blogspot.com/2025/08/python-3136-is-now-available.html,30
Python 3.14 release candidate 1 is go!,https://pythoninsider.blogspot.com/2025/07/python-314-release-candidate-1-is-go.html,38
Python 3.14.0 beta 4 is here!,https://pythoninsider.blogspot.com/2025/07/python-3140-beta-4-is-here.html,29
